original_name,cleaned_name,Freq,Notes
Blackand-white \Narbler,Black-and-white Warbler,1,
BlackAthroated Green Warbler,Black-throated Green Warbler,1,
Blackburnian \Narbler,Blackburnian Warbler,1,
Blackcappcd Chickadee,Black-capped Chickadee,1,
Blackcrowned Night-Heron,Black-crowned Night-Heron,1,
Blackothroated Green Warbler,Black-throated Green Warbler,1,
Blackrapped Chickadee,Black-capped Chickadee,1,
Blackrrowned Night-Heron,Black-crowned Night-Heron,1,
Blackthroated Gray Warbler,Black-throated Gray Warbler,1,
Blackvand-white Warbler,Black-and-white Warbler,1,
Blackvbilled Cuckoo,Black-billed Cuckoo,1,
Blue-gray Gnatcalcher,Blue-gray Gnatcatcher,1,
Blue-gray Gnatcatcher. Yellow-throated Vireo,Blue-gray Gnatcatcher. Yellow-throated Vireo,1,split text
Blue-gray Gnateatcher,Blue-gray Gnatcatcher,1,
Blue ]ay,Blue Jay,1,
Blue_]ay,Blue Jay,1,
Blue~gray Gnatcatcher,Blue-gray Gnatcatcher,1,
Bluegray Gnatcalcher,Blue-gray Gnatcatcher,1,
Blueklay,Blue Jay,1,
brlan Hopkins,,1,delete
Broad-Mnged Hawk,Broad-winged Hawk,1,
Bronzed Cowbird,,1,
Brown Pelican,,1,
Brown To'whee,Brown Towhee,1,
Brownvheaded Nuthatch,Brown-headed Nuthatch,1,
Bufflehead,,1,
Buﬂlehead,Bufflehead,1,
Buslitit,Bushtit,1,
Ca]ifornia Quail,California Quail,1,
Canvasback,,1,
Canyon Towhee,,1,
Carolina \Nren,Carolina Wren,1,
Carolina W'ren,Carolina Wren,1,
Cassin's Finch and Red Crossbill,,1,split text
Cattle Egret,,1,
Cedar \Naxwing,Cedar Waxwing,1,
Cedar V'Vaxwing,Cedar Waxwing,1,
Cedar Wanting,Cedar Waxwing,1,
Cedar Waxvn'ng,Cedar Waxwing,1,
Cedar Waxwing. Other 0bservers: Nancy W. Clayton,Cedar Waxwing,1,
Cerulean W'arbler,Cerulean Warbler,1,
Chestnut-sided \Narbler,Chestnut-sided Warbler,1,
chickadee species,Chickadee sp.,1,
Chimey Swift,Chimney Swift,1,
Chip~ ping Sparrow,Chipping Sparrow,1,
Chuckwill's-widow,Chuck-will's-widow,1,
Claycolored Sparrow,Clay-colored Sparrow,1,
Cliff 44 Swallow,Cliff Swallow,1,
CliFf Swallow,Cliff Swallow,1,
Clifi Swallow,Cliff Swallow,1,
Cliﬂ' Swallow,Cliff Swallow,1,help
"Cliﬂ\ Swallow""",Cliff Swallow,1,
Common Barn Owl,Barn Owl,1,
Common Crow,American Crow,1,
Common Grack1e and House Finch,,1,"split text, and Grack1e should be Grackle"
Common Grackle. Acknowledgmentszjennifer Anne Perry,Common Grackle,1,
Common Yellowthroa't,Common Yellowthroat,1,
Common Yiellowthroat,Common Yellowthroat,1,
Cornmon Ground-Dove,Common Ground-Dove,1,
crossbill species,crossbill sp.,1,
D. Schwenker,,1,delete
Dark-eyed (Oregon) Junco,Dark-eyed Junco,1,
Dark-eyed_]unc0,Dark-eyed Junco,1,
Dark-eyed_]unco,Dark-eyed Junco,1,
Darkeyedjunco,Dark-eyed Junco,1,
David M. Clayton,,1,delete
"Downy \'oodpecker""",Downy Woodpecker,1,help
Downy \Voodpecker,Downy Woodpecker,1,
"Downy nuLquu \1:10 Woodpecker""",Downy Woodpecker,1,help
Downy Woodpecknululuu I JHJ er,Downy Woodpecker,1,
Eastern \Nood-Pewee,Eastern Wood-Pewee,1,
Eastern \NoodPewee,Eastern Wood-Pewee,1,
Eastern \Vood-Pewee,Eastern Wood-Pewee,1,
Eastern Titmouse,Tufted Titmouse,1,
Eastern Wood-Pewcc,Eastern Wood-Pewee,1,
Eastern Wood Pewee,Eastern Wood-Pewee,1,
Elf Owl,,1,
Gadwal,Gadwall,1,
Gadwall (1N),Gadwall,1,
Garnbel's Quail,Gambel's Quail,1,
Golden-Crowned Kinglet,Golden-crowned Kinglet,1,
Goldenvcrowned Kinglet,Golden-crowned Kinglet,1,
Gray-checked Thrush,Gray-cheeked Thrush,1,
Gray Flycatcher,,1,
GrayIIay,Gray Jay,1,
Grayjay,Gray Jay,1,
Greater Scaup,,1,
Greentailed Towhee,Green-tailed Towhee,1,
H. Carola,,1,delete
Hairy 'Noodpecker,Hairy Woodpecker,1,
Hairy \'Voodpecker,Hairy Woodpecker,1,
Hairy \Noodpecker,Hairy Woodpecker,1,
Hairy VVoodpecker,Hairy Woodpecker,1,
Hairy W'oodpecker,Hairy Woodpecker,1,
Harris' Hawk,,1,
hlallard,Mallard,1,
hlourning Dove,Mourning Dove,1,
"Hooded \'arbler""",Hooded Warbler,1,help
Hooded Merganscr,Hooded Merganser,1,
Hooded VVarhler,Hooded Warbler,1,
House \Nren,House Wren,1,
House Finch. Other Observerszj. Bristow,House Finch,1,
Ilairy Woodpecker,Hairy Woodpecker,1,
IvIourning Dove,Mourning Dove,1,
K Sjolander,,1,delete
Killdecr,Killdeer,1,
Least Sandpiper,,1,
Least Tern,,1,
Lewis' Woodpecker,,1,
Long-eared Owl,,1,
Louisiana VVaterthrush,Louisiana Waterthrush,1,
Louisiana VVaterthrusli,Louisiana Waterthrush,1,
Louisiana W terthrush,Louisiana Waterthrush,1,
Louisiana Watcrthrush,Louisiana Waterthrush,1,
Louisiana Waterthrush. Utner Ubservers: Melanie Scnaldacn,Louisiana Waterthrush,1,
Lucy's Warbler,,1,
lViagnolia Warbler,Magnolia Warbler,1,
lVIallard,Mallard,1,
lVIarsh Wren,Marsh Wren,1,
M. Kantrowitz,,1,delete
MacGillivray's W'arbler,MacGillivray's Warbler,1,
MacGilliway's Warbler,MacGillivray's Warbler,1,
Mallard ): American Black Duck hybrid,American Black Duck x Mallard (hybrid),1,
Mallard x American Black Duck hybrid,American Black Duck x Mallard (hybrid),1,
Mary Jo Murray,,1,delete
Mississippi Kite,,1,
Mouming Dove,Mourning Dove,1,
Mourning Dave,Mourning Dove,1,
Mourning Dovc,Mourning Dove,1,
N. Bristow,,1,delete
N. BristOW,,1,delete
N.S. Mueller,,1,delete
Nashvule Warbler,Nashville Warbler,1,
Niagnolia Warbler,Magnolia Warbler,1,
Nlourning Dove,Mourning Dove,1,
Northern (Yellow-shafted) Flicker,Northern Flicker,1,
Northern Beardless-Tyrannulet,,1,
Northern Flicker (Red-shafted),Northern Flicker,1,
Northern ﬂicker,Northern Flicker,1,
Northern Parula Warbler,Northern Parula,1,
Nutmll's Woodpecker,Nuttall's Woodpecker,1,
Olivesided Flycatcher,Olive-sided Flycatcher,1,
Ovcnbird,Ovenbird,1,
Paul Huth,,1,delete
Pileatcd Woodpecker,Pileated Woodpecker,1,
Pileated \'Voodpecker,Pileated Woodpecker,1,
Pileated nululuu 1:1:1.) Woodpecker,Pileated Woodpecker,1,
Pileated VVoodpecker,Pileated Woodpecker,1,
Pine Warbler. Common Yellowthroat,,1,split text
Pinyon jay,Pinyon Jay,1,
Prairie Falcon,,1,
ProthonotaIy Warbler,Prothonotary Warbler,1,
Puple Martin,Purple Martin,1,
R.H. Wiley,,1,delete
Raven,Common Raven,1,
Red-bellied \N'oodpecker,Red-bellied Woodpecker,1,
Red-bellied \Noodpecker,Red-bellied Woodpecker,1,
Red-bellied VVoodpecker,Red-bellied Woodpecker,1,
Red-cockaded VVoodpecker,Red-cockaded Woodpecker,1,
Red-cockaded Woodv pecker,Red-cockaded Woodpecker,1,
Red-necked Grebe,,1,
Red-winng Blackbird,Red-winged Blackbird,1,
Redcyed Vireo,Red-eyed Vireo,1,
Ringbilled Gull,Ring-billed Gull,1,
Rose-breased Grosbeak,Rose-breasted Grosbeak,1,
Ruby-crowned Kinglct,Ruby-crowned Kinglet,1,
Ruf'fed Grouse,Ruffed Grouse,1,
Ruff ed Grouse,Ruffed Grouse,1,
Ruffcd Grouse,Ruffed Grouse,1,
Ruffed Grouse (with young),Ruffed Grouse,1,
Rufied Grouse,Ruffed Grouse,1,
Ruflcd Grouse,Ruffed Grouse,1,
Rufous-sidcd Towhee,Rufous-sided Towhee,1,taxonomy
Rufous-sided Towhce,Rufous-sided Towhee,1,taxonomy
Rufous-sided Towhec,Rufous-sided Towhee,1,taxonomy
Ruﬂ' ed Grouse,Ruffed Grouse,1,
Ruifed Grouse,Ruffed Grouse,1,
RulTed Grouse,Ruffed Grouse,1,
Rusty Blackbird,,1,
S. Gall,,1,delete
Sage Sparrow,,1,
Sage Thrasher,,1,
Sandhill Crane,,1,
Sedge W'ren,Sedge Wren,1,
Selena LaI'I'Oll,,1,delete
Sharp-tailed Grouse,,1,
Short-cared Owl,Short-eared Owl,1,
Sichuan Pheasant,,1,
Solitary Sandpiper,,1,
Solitary vireo,Solitary Vireo,1,
Steller's>]ay,Steller's Jay,1,
Steller'sJay,Steller's Jay,1,
Summer Tanagér,Summer Tanager,1,
Swajnson's Thrush,Swainson's Thrush,1,
Sybil Rosen,,1,delete
Three-toed Woodpecker,,1,
Traill's Flycatcher,Willow Flycatcher,1,
Tufted 'l'itmouse,Tufted Titmouse,1,
Tufted Titinouse,Tufted Titmouse,1,
unidentified Accipiter,Accipiter sp.,1,
Varied Bunting,,1,
Veeiy,Veery,1,
Violet Green Swallow,Violet-green Swallow,1,
VVhip-poor-will,Whip-poor-will,1,
VVhite-throated Sparrow,White-throated Sparrow,1,
VVhiteeyed Vireo,White-eyed Vireo,1,
VVorm-eating Warbler,Worm-eating Warbler,1,
W'arbling Vireo,Warbling Vireo,1,
W'hite-crowned Sparrow,White-crowned Sparrow,1,
W'hite-headed Woodpecker,White-headed Woodpecker,1,
W'ood Duck,Wood Duck,1,
Warren Morse,,1,delete
Western NIeadowlark,Western Meadowlark,1,
Western Sandpiper,,1,
Western Scrubjay,Western Scrub Jay,1,
Western ScrubJay,Western Scrub Jay,1,
Western Wood-Pewce,Western Wood-Pewee,1,
White~breasted Nuthatch,White-breasted Nuthatch,1,
Whitecrowned Sparrow,White-crowned Sparrow,1,
Whiteheaded Woodpecker,White-headed Woodpecker,1,
Wood Stork,,1,
Woodthrush,Wood Thrush,1,
Wormeating W'arbler,Worm-eating Warbler,1,
Write-winged Dove,White-winged Dove,1,
Yellow-ramped Warbler,Yellow-rumped Warbler,1,
Yellow-rumped,Yellow-rumped Warbler,1,
Yellow-rumped (Myrtle) Warbler,Yellow-rumped Warbler,1,
